Zeit;Kanal A
(ms);(V)

-5,00006708;0,98071480
-4,99996308;1,02731300
-4,99985908;1,02731300
-4,99975508;0,98071480
-4,99965108;1,02731300
-4,99954708;0,98071480
-4,99944308;1,02731300
-4,99933908;0,98071480
-4,99923508;1,02731300
-4,99913108;1,02731300
-4,99902708;1,02731300
-4,99892308;1,02731300
-4,99881908;1,02731300
-4,99871508;0,98071480
-4,99861108;1,02731300
-4,99850708;0,98071480
-4,99840308;0,98071480
-4,99829908;0,98071480
-4,99819508;0,98071480
-4,99809108;0,98071480
-4,99798708;0,98071480
-4,99788308;0,98071480
-4,99777908;0,98071480
-4,99767508;1,02731300
-4,99757108;1,02731300
-4,99746708;0,98071480
-4,99736308;1,02731300
-4,99725908;0,98071480
-4,99715508;1,02731300
-4,99705108;0,98071480
-4,99694708;1,02731300
-4,99684308;0,98071480
-4,99673908;1,02731300
-4,99663508;1,02731300
-4,99653108;1,02731300
-4,99642708;1,02731300
-4,99632308;1,02731300
-4,99621908;0,98071480
-4,99611508;1,02731300
-4,99601108;0,98071480
-4,99590708;1,02731300
-4,99580308;1,02731300
-4,99569908;0,98071480
-4,99559508;0,98071480
-4,99549108;1,02731300
-4,99538708;1,02731300
-4,99528308;1,02731300
-4,99517908;1,02731300
-4,99507508;1,02731300
-4,99497108;0,98071480
-4,99486708;1,02731300
-4,99476308;1,02731300
-4,99465908;1,02731300
-4,99455508;1,02731300
-4,99445108;0,98071480
-4,99434708;1,02731300
-4,99424308;1,02731300
-4,99413908;1,02731300
-4,99403508;0,98071480
-4,99393108;0,98071480
-4,99382708;1,02731300
-4,99372308;1,02731300
-4,99361908;1,02731300
-4,99351508;1,02731300
-4,99341108;1,02731300
-4,99330708;0,98071480
-4,99320308;1,02731300
-4,99309908;1,02731300
-4,99299508;0,98071480
-4,99289108;1,02731300
-4,99278708;1,02731300
-4,99268308;1,02731300
-4,99257908;1,02731300
-4,99247508;0,98071480
-4,99237108;1,02731300
-4,99226708;0,98071480
-4,99216308;1,02731300
-4,99205908;1,02731300
-4,99195508;1,02731300
-4,99185108;1,02731300
-4,99174708;1,02731300
-4,99164308;0,98071480
-4,99153908;1,02731300
-4,99143508;0,98071480
-4,99133108;0,98071480
-4,99122708;0,98071480
-4,99112308;1,02731300
-4,99101908;1,02731300
-4,99091508;1,02731300
-4,99081108;1,02731300
-4,99070708;1,02731300
-4,99060308;0,98071480
-4,99049908;1,02731300
-4,99039508;0,98071480
-4,99029108;1,02731300
-4,99018708;0,98071480
-4,99008308;1,02731300
-4,98997908;1,02731300
-4,98987508;1,02731300
-4,98977108;0,98071480
-4,98966708;0,98071480
-4,98956308;0,98071480
-4,98945908;1,02731300
-4,98935508;1,02731300
-4,98925108;0,98071480
-4,98914708;1,02731300
-4,98904308;1,02731300
-4,98893908;0,98071480
-4,98883508;0,98071480
-4,98873108;0,98071480
-4,98862708;1,02731300
-4,98852308;1,02731300
-4,98841908;1,02731300
-4,98831508;1,02731300
-4,98821108;1,02731300
-4,98810708;1,02731300
-4,98800308;1,02731300
-4,98789908;0,98071480
