Zeit;Kanal A
(ms);(mV)

-25.00833239;0.37586120
-25.00333239;1.50467500
-24.99833239;0.56409940
-24.99333239;0.37586120
-24.98833239;0.18762300
-24.98333239;0.37586120
-24.97833239;0.00000000
-24.97333239;0.00000000
-24.96833239;0.00000000
-24.96333239;0.18762300
-24.95833239;0.00000000
-24.95333239;0.18762300
-24.94833239;0.75233760
-24.94333239;0.56409940
-24.93833239;0.56409940
-24.93333239;0.37586120
-24.92833239;0.75233760
-24.92333239;0.56409940
-24.91833239;0.18762300
-24.91333239;0.00000000
-24.90833239;0.18762300
-24.90333239;0.00000000
-24.89833239;0.00000000
-24.89333239;0.37586120
-24.88833239;0.00000000
-24.88333239;-0.18762300
-24.87833239;0.00000000
-24.87333239;1.50467500
-24.86833239;0.56409940
-24.86333239;0.75233760
-24.85833239;0.18762300
-24.85333239;0.75233760
-24.84833239;0.75233760
-24.84333239;0.56409940
-24.83833239;0.56409940
-24.83333239;-2.25701300
-24.82833239;0.93996060
-24.82333239;0.56409940
-24.81833239;0.56409940
-24.81333239;0.56409940
-24.80833239;0.93996060
-24.80333239;0.75233760
-24.79833239;1.50467500
-24.79333239;1.31643700
-24.78833239;1.50467500
-24.78333239;1.50467500
-24.77833239;1.50467500
-24.77333239;1.12819900
-24.76833239;1.50467500
-24.76333239;1.50467500
-24.75833239;1.50467500
-24.75333239;1.50467500
-24.74833239;1.50467500
-24.74333239;1.31643700
-24.73833239;0.93996060
-24.73333239;1.50467500
-24.72833239;0.93996060
-24.72333239;0.75233760
-24.71833239;1.12819900
-24.71333239;1.50467500
-24.70833239;0.93996060
-24.70333239;0.93996060
-24.69833239;1.12819900
-24.69333239;1.12819900
-24.68833239;0.93996060
-24.68333239;1.31643700
-24.67833239;1.69291300
-24.67333239;1.31643700
-24.66833239;1.50467500
-24.66333239;1.88053600
-24.65833239;1.69291300
-24.65333239;1.50467500
-24.64833239;1.88053600
-24.64333239;2.44525100
-24.63833239;1.88053600
-24.63333239;1.50467500
-24.62833239;2.82111200
